[Name]
Series 1 at /PLANE:leading edge

[Data]
Z [ m ],uta variable [ m^3 s^-1 K ]
1.90198813e-02, 3.23286004e-05
2.03388613e-02, 2.69569646e-05
1.74371041e-02, 3.87718719e-05
1.55377733e-02, 4.65008889e-05
2.50932481e-02, 1.65139326e-07
2.50932481e-02, 4.79184223e-07
2.53999997e-02, 1.42934311e-07
2.53999997e-02, 4.98714350e-08
2.47251447e-02, 2.80457186e-07
2.47251447e-02, 8.56419661e-07
2.42834203e-02, 4.43024049e-07
2.42834203e-02, 1.37222275e-06
2.37533525e-02, 6.34936441e-07
2.37533525e-02, 1.97136592e-06
2.31172685e-02, 8.21747392e-07
2.31172685e-02, 2.55967916e-06
2.23539714e-02, 1.02832018e-06
2.23539714e-02, 3.21399148e-06
2.14380119e-02, 1.25677991e-06
2.14380119e-02, 3.94228073e-06
2.50932481e-02, 7.35413778e-07
2.53999997e-02, 2.07999236e-07
2.47251447e-02, 1.36955884e-06
2.42834203e-02, 2.21332243e-06
2.37533525e-02, 3.17432637e-06
2.31172685e-02, 4.11707151e-06
2.23539714e-02, 5.16927184e-06
2.14380119e-02, 6.34442085e-06
2.50932481e-02, 1.11583313e-06
2.53999997e-02, 3.00998011e-07
2.47251447e-02, 2.12868940e-06
2.42834203e-02, 3.43791294e-06
2.37533525e-02, 4.90326875e-06
2.31172685e-02, 6.33607215e-06
2.23539714e-02, 7.93821437e-06
2.14380119e-02, 9.73037186e-06
2.50932481e-02, 1.69533132e-06
2.53999997e-02, 4.40779303e-07
2.47251447e-02, 3.26120767e-06
2.42834203e-02, 5.21870015e-06
2.37533525e-02, 7.37469827e-06
2.31172685e-02, 9.47484477e-06
2.23539714e-02, 1.18263761e-05
2.14380119e-02, 1.44584201e-05
2.50932481e-02, 2.59389640e-06
2.53999997e-02, 6.60397518e-07
2.47251447e-02, 4.94966253e-06
2.42834203e-02, 7.78849699e-06
2.37533525e-02, 1.08678087e-05
2.31172685e-02, 1.38610703e-05
2.23539714e-02, 1.72161272e-05
2.14380119e-02, 2.09696209e-05
2.50932481e-02, 3.99080909e-06
2.53999997e-02, 1.01425917e-06
2.47251447e-02, 7.44911495e-06
2.42834203e-02, 1.14434424e-05
2.37533525e-02, 1.57219547e-05
2.31172685e-02, 1.98880080e-05
2.23539714e-02, 2.45623814e-05
2.14380119e-02, 2.97905044e-05
2.50932481e-02, 6.16040688e-06
2.53999997e-02, 1.59554611e-06
2.47251447e-02, 1.11179688e-05
