[Name]
Series 1 at /PLANE:leading edge

[Data]
Z [ m ],ua variable [ m^3 s^-1 ]
1.90198813e-02, 2.60388049e-07
2.03388613e-02, 2.17287393e-07
1.74371041e-02, 3.12122637e-07
1.55377733e-02, 3.74216285e-07
1.90198813e-02, 2.26164261e-07
2.03388613e-02, 1.88710914e-07
1.74371041e-02, 2.71095217e-07
1.55377733e-02, 3.24996620e-07
1.90198813e-02, 1.95371243e-07
2.03388613e-02, 1.62969130e-07
1.74371041e-02, 2.34237049e-07
1.55377733e-02, 2.80858984e-07
1.90198813e-02, 9.14114153e-08
2.03388613e-02, 7.62163310e-08
1.74371041e-02, 1.09640609e-07
1.55377733e-02, 1.31510504e-07
2.50932481e-02, 5.10194498e-10
2.50932481e-02, 1.48042001e-09
2.53999997e-02, 4.41603143e-10
2.53999997e-02, 1.54079971e-10
2.47251447e-02, 8.66371308e-10
2.47251447e-02, 2.64554623e-09
2.42834203e-02, 1.36797262e-09
2.42834203e-02, 4.23688329e-09
2.37533525e-02, 1.95779193e-09
2.37533525e-02, 6.07793682e-09
2.31172685e-02, 2.52780463e-09
2.31172685e-02, 7.87523291e-09
2.23539714e-02, 3.15562576e-09
2.23539714e-02, 9.86622783e-09
2.14380119e-02, 3.84970411e-09
2.14380119e-02, 1.20811361e-08
2.50932481e-02, 2.27201391e-09
2.53999997e-02, 6.42627451e-10
2.47251447e-02, 4.23059232e-09
2.42834203e-02, 6.83342494e-09
2.37533525e-02, 9.78554748e-09
2.31172685e-02, 1.26649224e-08
2.23539714e-02, 1.58651208e-08
2.14380119e-02, 1.94369303e-08
2.50932481e-02, 3.44726758e-09
2.53999997e-02, 9.29958666e-10
2.47251447e-02, 6.57543175e-09
2.42834203e-02, 1.06134745e-08
2.37533525e-02, 1.51129509e-08
2.31172685e-02, 1.94861727e-08
2.23539714e-02, 2.43552183e-08
2.14380119e-02, 2.97975493e-08
2.50932481e-02, 5.23752774e-09
2.53999997e-02, 1.36183231e-09
2.47251447e-02, 1.00735242e-08
2.42834203e-02, 1.61096629e-08
2.37533525e-02, 2.27252617e-08
2.31172685e-02, 2.91280333e-08
2.23539714e-02, 3.62663251e-08
2.14380119e-02, 4.42478090e-08
2.50932481e-02, 8.01344857e-09
2.53999997e-02, 2.04037431e-09
2.47251447e-02, 1.52885011e-08
2.42834203e-02, 2.40392897e-08
2.37533525e-02, 3.34772317e-08
2.31172685e-02, 4.25859881e-08
2.23539714e-02, 5.27537303e-08
2.14380119e-02, 6.41104947e-08
2.50932481e-02, 1.23288197e-08
2.53999997e-02, 3.13366955e-09
2.47251447e-02, 2.30075479e-08
2.42834203e-02, 3.53127447e-08
2.37533525e-02, 4.84001283e-08
2.31172685e-02, 6.10404101e-08
2.23539714e-02, 7.51599387e-08
2.14380119e-02, 9.09346483e-08
2.50932481e-02, 1.90309404e-08
2.53999997e-02, 4.92960028e-09
2.47251447e-02, 3.43356845e-08
2.42834203e-02, 5.12421963e-08
2.37533525e-02, 6.89874682e-08
2.31172685e-02, 8.61888694e-08
2.23539714e-02, 1.05455605e-07
2.14380119e-02, 1.27032820e-07
2.50932500e-02, 2.94456619e-08
2.53999997e-02, 7.97085953e-09
2.47251447e-02, 5.08131173e-08
2.42834203e-02, 7.35197716e-08
2.37533525e-02, 9.71474705e-08
2.31172685e-02, 1.20226616e-07
2.23539714e-02, 1.46214518e-07
2.14380119e-02, 1.75484288e-07
2.50932481e-02, 4.57472780e-08
2.53999997e-02, 1.31866855e-08
2.47251447e-02, 7.48688365e-08
2.42834203e-02, 1.04751663e-07
2.37533525e-02, 1.35981850e-07
2.31172685e-02, 1.66855585e-07
2.23539714e-02, 2.01992165e-07
2.14380119e-02, 2.41855474e-07
2.50932481e-02, 6.51101644e-08
2.53999997e-02, 2.03148112e-08
2.47251447e-02, 1.00256031e-07
2.42834203e-02, 1.35536837e-07
2.37533525e-02, 1.73251138e-07
2.31172685e-02, 2.11351406e-07
2.23539714e-02, 2.55261114e-07
2.14380119e-02, 3.05441887e-07
2.50932481e-02, 7.55414291e-08
2.53999997e-02, 2.57903974e-08
2.47251447e-02, 1.09957838e-07
2.42834203e-02, 1.44845757e-07
2.37533525e-02, 1.83503673e-07
2.31172685e-02, 2.23406701e-07
2.23539714e-02, 2.69776336e-07
2.14380119e-02, 3.23108452e-07
2.50932481e-02, 7.56257990e-08
2.53999997e-02, 2.77630399e-08
2.47251447e-02, 1.05635202e-07
2.42834203e-02, 1.37339256e-07
2.37533525e-02, 1.73431104e-07
2.31172685e-02, 2.11068581e-07
2.23539714e-02, 2.54869235e-07
2.14380119e-02, 3.05508962e-07
2.50932481e-02, 7.31122469e-08
2.53999997e-02, 2.83057009e-08
2.47251447e-02, 9.94370737e-08
2.42834203e-02, 1.28649774e-07
2.37533525e-02, 1.61963470e-07
2.31172685e-02, 1.96777535e-07
2.23539714e-02, 2.37287125e-07
2.14380119e-02, 2.84402859e-07
2.50932481e-02, 6.89977568e-08
2.53999997e-02, 2.77347514e-08
2.47251447e-02, 9.24960730e-08
2.42834203e-02, 1.19199697e-07
2.37533525e-02, 1.49027514e-07
2.31172685e-02, 1.80423228e-07
2.23539714e-02, 2.17058854e-07
2.14380119e-02, 2.59981533e-07
2.50932481e-02, 6.41233484e-08
2.53999997e-02, 2.64188280e-08
2.47251447e-02, 8.52248334e-08
2.42834203e-02, 1.08847736e-07
2.37533525e-02, 1.34752497e-07
2.31172685e-02, 1.62526376e-07
2.23539714e-02, 1.95112918e-07
2.14380119e-02, 2.33560641e-07
2.50932481e-02, 5.90147096e-08
2.53999997e-02, 2.46647733e-08
2.47251447e-02, 7.76472220e-08
2.42834203e-02, 9.78342882e-08
2.37533525e-02, 1.19973109e-07
2.31172685e-02, 1.44289089e-07
2.23539714e-02, 1.72984414e-07
2.14380119e-02, 2.07027981e-07
2.50932481e-02, 5.39005640e-08
2.53999997e-02, 2.28173249e-08
2.47251447e-02, 6.96718416e-08
2.42834203e-02, 8.65664163e-08
2.37533525e-02, 1.05357671e-07
2.31172685e-02, 1.26490036e-07
2.23539714e-02, 1.51553479e-07
2.14380119e-02, 1.81405795e-07
2.50932481e-02, 4.86478200e-08
2.53999997e-02, 2.09108695e-08
2.47251447e-02, 6.15830729e-08
2.42834203e-02, 7.56111191e-08
2.37533525e-02, 9.15225087e-08
2.31172685e-02, 1.09786257e-07
2.23539714e-02, 1.31533639e-07
2.14380119e-02, 1.57508296e-07
2.50932481e-02, 4.33964367e-08
2.53999997e-02, 1.90213676e-08
2.47251447e-02, 5.38238787e-08
2.42834203e-02, 6.54715393e-08
2.37533525e-02, 7.89478065e-08
2.31172685e-02, 9.46816172e-08
2.23539714e-02, 1.13474584e-07
2.14380119e-02, 1.35964882e-07
2.50932481e-02, 2.08026165e-08
2.53999997e-02, 9.28871646e-09
2.47251447e-02, 2.53652761e-08
2.42834203e-02, 3.06365102e-08
2.37533525e-02, 3.68468420e-08
2.31172685e-02, 4.41991403e-08
2.23539714e-02, 5.30022959e-08
2.14380119e-02, 6.35525410e-08
4.41949582e-04, 3.87335097e-09
8.10240919e-04, 3.20306981e-09
8.10240919e-04, 1.01837450e-09
4.41949582e-04, 1.23572363e-09
0.00000000e+00, 2.12235096e-09
0.00000000e+00, 6.78185730e-10
4.41949582e-04, 6.28623908e-09
8.10240919e-04, 5.20612087e-09
0.00000000e+00, 3.44250051e-09
4.41949582e-04, 9.79697479e-09
8.10240919e-04, 8.12869683e-09
0.00000000e+00, 5.35819966e-09
4.41949582e-04, 1.48535992e-08
8.10240919e-04, 1.23221842e-08
0.00000000e+00, 8.12516188e-09
4.41949582e-04, 2.20743086e-08
8.10240919e-04, 1.83035684e-08
0.00000000e+00, 1.20786252e-08
4.41949582e-04, 3.22174998e-08
8.10240919e-04, 2.67142273e-08
0.00000000e+00, 1.76236004e-08
4.41949582e-04, 4.62467789e-08
8.10240919e-04, 3.82955179e-08
0.00000000e+00, 2.53146819e-08
4.41949582e-04, 6.53930528e-08
8.10240919e-04, 5.40942828e-08
0.00000000e+00, 3.58046890e-08
4.41949582e-04, 9.13956697e-08
8.10240919e-04, 7.54669358e-08
0.00000000e+00, 5.00879764e-08
4.41949582e-04, 1.15608977e-07
8.10240919e-04, 9.54124388e-08
0.00000000e+00, 6.33595150e-08
4.41949582e-04, 1.20778111e-07
8.10240919e-04, 9.97265843e-08
0.00000000e+00, 6.61640911e-08
4.41949582e-04, 1.11967516e-07
8.10240919e-04, 9.25562347e-08
0.00000000e+00, 6.12925533e-08
4.41949582e-04, 1.02267705e-07
8.10240919e-04, 8.46529957e-08
0.00000000e+00, 5.59396831e-08
4.41949582e-04, 9.23938757e-08
8.10240919e-04, 7.65772157e-08
0.00000000e+00, 5.05068094e-08
4.41949582e-04, 8.28788060e-08
8.10240919e-04, 6.87727919e-08
0.00000000e+00, 4.52793323e-08
4.41949582e-04, 7.40335153e-08
8.10240919e-04, 6.14438918e-08
0.00000000e+00, 4.04550349e-08
4.41949582e-04, 6.61171669e-08
8.10240919e-04, 5.49084866e-08
0.00000000e+00, 3.61199248e-08
4.41949582e-04, 5.88013940e-08
